sensorId,createdAt,value,lat,lon
61f40eeddb392f001b0f419c,2023-02-28T01:27:00.759Z,1.19,47.523028,19.21117
606d6cfc4393eb001c86ed57,2023-02-28T01:27:00.597Z,0.24,47.537799,19.06623
63f358354fbabe00074ecba3,2023-02-28T01:26:53.175Z,0.87,47.47018,19.078783
61c1093fe2a8da001b202854,2023-02-28T01:26:48.594Z,0.69,47.441326,19.16742
5f15a1e8e8f87e001c7e0eaf,2023-02-28T01:26:47.777Z,-0.89,47.447888,19.181061
6346b8ea06f5f7001b77b659,2023-02-28T01:26:38.835Z,0.24,47.565538,19.086423
623894cdbe6329001cb4bfe5,2023-02-28T01:26:38.231Z,1.54,47.465842,19.117917
6080401160979a001b0310fe,2023-02-28T01:26:37.143Z,0.64,47.456662,19.159684
63f358354fbabe00074ecba3,2023-02-28T01:26:37.090Z,0.88,47.47018,19.078783
609baf0325b716001cb9c8fe,2023-02-28T01:26:36.953Z,-0.12,47.532085,19.07774
611f76f5b09114001b548f8d,2023-02-28T01:26:36.900Z,3.19,47.504324,19.074182
618ebe57e30ca5001b8f335d,2023-02-28T01:26:34.642Z,-0.94,47.406479,19.187427
6355a4eddb73ef001b7c4217,2023-02-28T01:26:30.525Z,1.56,47.538966,19.087112
6040c7618ad04a001bc570a9,2023-02-28T01:26:30.252Z,2.84,47.4584,19.017398
6353be94139d1f001b1b21fb,2023-02-28T01:26:29.440Z,2.12,47.513008,19.054063
61a12255d85cc7001bf7fdab,2023-02-28T01:26:24.545Z,1.15,47.530403,19.281569
63f358354fbabe00074ecba3,2023-02-28T01:26:24.083Z,0.88,47.47018,19.078783
602d0601a79cbd001bdc5613,2023-02-28T01:26:23.380Z,3.14,47.506496,19.075401
6217b0854f7ef7001bb35b33,2023-02-28T01:26:17.317Z,0.51,47.475369,19.015587
615a2bcd7ea3fe001c5d77ab,2023-02-28T01:26:15.559Z,0.03,47.5026,18.9403
6012ae1a571de9001bf0de7a,2023-02-28T01:26:14.924Z,0.83,47.477996,19.035062
6079416140d969001b223803,2023-02-28T01:26:13.573Z,0.38,47.541081,19.082268
615a29387ea3fe001c5c6730,2023-02-28T01:26:10.546Z,-0.10,47.50262,18.94011
609ee46125b716001c53b1fc,2023-02-28T01:26:08.916Z,14.82,47.506199,19.133976
63f358354fbabe00074ecba3,2023-02-28T01:26:08.398Z,0.86,47.47018,19.078783
612f4f89157184001bdf11f5,2023-02-28T01:25:56.698Z,20.44,47.504432,19.075575
63c8632ad37b36000733227b,2023-02-28T01:25:56.229Z,14.42,47.516104,19.056701
63f358354fbabe00074ecba3,2023-02-28T01:25:54.709Z,0.86,47.47018,19.078783
6348fcc09b62e5001b25ac3c,2023-02-28T01:25:54.238Z,1.32,47.473804,19.013598
5e41889919585f001bae8018,2023-02-28T01:25:52.356Z,4.40,47.536316,19.06253
63f358354fbabe00074ecba3,2023-02-28T01:25:42.494Z,0.84,47.47018,19.078783
6373ce7d1de963001bf57c88,2023-02-28T01:25:38.671Z,-0.32,47.602859,19.002431
6040d2f38ad04a001bcb356f,2023-02-28T01:25:37.993Z,1.11,47.473679,19.056018
61fba00568c6fb001b8c5329,2023-02-28T01:25:36.271Z,3.40,47.504416,19.074067
632accb7b6658f001be047ad,2023-02-28T01:25:31.828Z,3.67,47.47023,19.166389
62388344be6329001cac4c6f,2023-02-28T01:25:31.185Z,1.67,47.479541,19.078817
63f358354fbabe00074ecba3,2023-02-28T01:25:30.188Z,0.89,47.47018,19.078783
6391e43f698b50001ce301f2,2023-02-28T01:25:26.388Z,9.07,47.50145,19.148263
5e56763a37f639001bd14bb4,2023-02-28T01:25:22.617Z,0.52,47.45692,19.016782
61a12255d85cc7001bf7fdab,2023-02-28T01:25:22.113Z,1.21,47.530403,19.281569
6040ca7d8ad04a001bc6fd49,2023-02-28T01:25:21.709Z,1.57,47.463627,19.014867
6238444bbe6329001c8e4f58,2023-02-28T01:25:18.768Z,3.26,47.486088,19.064243
63f358354fbabe00074ecba3,2023-02-28T01:25:17.760Z,0.88,47.47018,19.078783
